time;user;text;score1;score2;score3
02-22;Anita_c;貌似这家spao已经撤店了！年前带儿子去大北拍照，特意去了一趟没有找到，还不相信呢，前几天取照片时又看了一眼，的确撤了，好遗憾啊，北京都没有了。。。。一直挺喜欢他家风格的，难不成再买得回首尔了，oh no～;产品4(非常好);环境4(非常好);服务4(非常好)
02-13;樱花塚;北京就这么一个店，现在还关门了，不知道是装修还是撤店了。每次去人都不多。衣服更新的不快，不跟韩国比，和上海比都慢好多！;产品3(很好);环境3(很好);服务3(很好)
02-10;猪猪youyou;今天去的时候已经没有了，不知道是装修还是就关门了 诶 伤心。;产品1(一般);环境1(一般);服务1(一般)
02-04;YUMMY*DM;这个店已经搬走了，没有了，大家不用再找了，哎;产品0(很差);环境0(很差);服务0(很差)
02-04;indestructiible;关门啦，之前来前门还会转转的说…;产品4(非常好);环境4(非常好);服务4(非常好)
02-02  更新于16-02-02 14:04;昵昵称称00;关张啦，白跑一趟！！！！！！！！！！;产品0(很差);环境0(很差);服务0(很差)
01-31;Glenn35;昨天去看貌似关门了…不知道怎么回事;产品4(非常好);环境4(非常好);服务4(非常好)
01-26;只吃肉的COCO;以前很喜欢的一家店 上周就关了 最后一天全场三折超级值 可惜去晚了 都是别人挑剩下的了三百买了4 件 还不知道新店开在哪儿  大家不要再去了.....;产品4(非常好);环境4(非常好);服务4(非常好)
01-23;蛊蛊谢;看上了spao的一款包包 本准备找代购后来查了下 前门有店 就跑过去看店很好找 外面看着也气派然而 然而 里面就没啥可以讲得了就一层卖东西 东西不多几乎没看到包问店员 店员说卖完了——卖完了就不补货么？？哎，所以啊，很失望;产品1(一般);环境1(一般);服务1(一般)
01-10  更新于16-01-10 12:41;M号小羊;每次來前門都不會看這家店，有次朋友說很喜歡他家的衣服和風格。昨天去看了。我仔細看了男裝，在二層，款式樣子還是很不錯的。不過沒注意看女裝。貨品的擺放展示有些沒有規則，摸不到頭緒。進店的人流不是很大。試衣間也完全不用排隊的。就是有些冷。幫朋友買毛衣，因為本人沒來，就盯上唯一一個在試衣間的一個帥哥幫我試穿。走進試衣間就覺得好冷。那帥哥居然裡面穿的是短袖，弄得我怪不好意思的。別讓人家凍壞了。店員超級耐心的，問我東西多不多要不要放到一個大的袋子裡面好拿著。幫我認真仔細的店好衣服，讓到一個中號袋子，我說這個有點大，換個小的。後來發現小袋有些侷促，店員又說沒事兒我給您兩個中號袋子。非常耐心和好心。;产品4(非常好);环境4(非常好);服务4(非常好)
01-08;Sue_夏;东西还行，就是服务次到不行，帮朋友问退税的事，一问三不知，请她去问同事，说点马上要倒闭了…顿时石化！;产品3(很好);环境2(好);服务0(很差)
15-12-17;J小萌主;…姐们儿在这逛疯了…北京貌似就一家~衣服有点贵;产品4(非常好);环境4(非常好);服务4(非常好)
15-12-09;楼兰大媒婆;此店铺在步行街路东，是韩国品牌，东西物美价廉，非常适合学生穿着。在北京仅此一家。一楼女装，二楼男装。面料、价格、购买环境、服务还都不错。划算！;产品3(很好);环境3(很好);服务3(很好)
15-12-05  更新于12-05 18:55;幺乖妹;我没在别的地方见到过这个品牌。这是北京旗舰店呢，快到两周年店庆了。店上下两层，里边有扶梯。环境还不错。播放着的都是“WE WISH YOU A MERRY CHIRSMAS”这样的欢快的歌声，但总被店里的促销广告打断。货品也非常多。我感觉整体上跟班尼路啊优衣库啊什么的是一个类型的。一件羽绒背心199元，一件长款女士羽绒服699元。不贵吧？;产品2(好);环境2(好);服务2(好)
15-11-20;我的北极熊;逛街逛热了，给爸爸在里面买了件薄衣服，谁说老年人不能穿年轻人的衣服呢;产品3(很好);环境3(很好);服务3(很好)
15-09-07;LUNA亞;店大，一层女装二层男装，价格便宜，没事逛逛挺好;产品3(很好);环境3(很好);服务3(很好)
15-08-05  更新于08-05 00:21;抹茶榴莲猪;衣服鞋价格合适，款式多，帆布包小贵TAT。;产品3(很好);环境3(很好);服务3(很好)
15-05-31;孝感候鸟;老顾客了，今天购物体验太太太差，5月31日在北京spao前门店购物，给孩子妈买了两双女 鞋，由于孩妈在家带娃无法确定鞋号与版型合适否，可能会调换，多名店员反复鞋包不退不换，消协法对于三包没这规定吧？且店员称买不买不强迫，你们真牛，1000多元是不算多少钱，但此行为极不伦理道德，你让妇女带小婴儿来店里买吗？网购鞋还包退换呢!;产品4(非常好);环境1(一般);服务0(很差)
15-05-26;锅碗瓢盆儿七个隆咚锵咚锵;年轻人的品牌，韩国人做的广告！;产品2(好);环境2(好);服务2(好)
15-05-10;Redundant._1813;极其不负责任，下雨天去的不让带伞进店有没有看管，结果伞丢了服务员却说不是她的责任，说怪拿伞的人没素质 建议以后大家去她店里购物时一定要看好自己的东西，遇到这样不负责任的员工我真的无语了 一星我都不想给;产品0(很差);环境0(很差);服务0(很差)
15-05-07;飞飞-517;其实货品跟其他店没什么差别,里面那些瓶瓶罐罐的就是很吸引人,想想还是以后再来挑选吧,我很喜欢无印良品的东西,在美国就是很白菜的包包,最喜欢销售文具的角落,逛街逛累了就吃了点东西,赶脚袜子的各部分弹力都不一样,因为一直没空去商场买衣服,永远是漂亮的母女做模特.;产品3(很好);环境2(好);服务3(很好)
15-04-25;Yc凝;韩国店铺，感觉有点那啥，衬衫还可以，有收获;产品3(很好);环境2(好);服务2(好)
15-04-25;vivian2090;一星是给男装的，女装从衣服到营业员的脸色都不值一星，好歹是帝都皇城脚下，讲来好听首都，服务业的态度都不怎么样，一副拽的二五八万的臭脸！;产品0(很差);环境0(很差);服务0(很差)
15-04-13;朵朵肉肉;北京就这么一家店,让我幸运的遇到了...哈哈开始确实是奔着偶想去的,,但是衣服的款式和样子还有舒适度真的是不错.而且价格不贵,,买了两件衣服不到300元..最近上新的款式都是小清新少女款的,,,还有米奇系列;产品4(非常好);环境4(非常好);服务4(非常好)
15-03-24;无敌嘟嘟小馋猫;店里服务人员有点少。衣服很好看。忍不住多买了几件。以后要常来了;产品4(非常好);环境4(非常好);服务4(非常好)
15-03-16  更新于03-16 12:28;用黑色铅笔画场盛世的烟火;我是来认真评价一下哈，首先认识这个SPAO品牌是从上海人民广场的国内总知道这个品牌的。然后就喜欢上了这个品牌，一是确实不错，二也是性价比挺高。然后回到北京也想还买 这个品牌的衣服，就查到在前门那有个店，就去了，也买了好几次了。但是让人生气的是15年3月15号去的购物，在二楼男装试衣，就一个服务员，不知道是咋的，是单独看我不爽么，每次试衣服都要问我拿几件，而且我试的是裤子以及里面穿的和外套都拿着试 她非说裤子只能进去试 其余的只能在外面试，我说是你有病么，我不是试裤子直接不能一直试？我知道你们有规定写着一次只能试五件，你衣服瞎看不到我拿几件？ 而且最重要的是 好几个人试，单独只问我？ 我哪得罪你了？狗上看人你? 这个品牌衣服我真的是很喜欢，但是你们不去培训员工么？ 就这样歧视顾客，别说你们几百的衣服 那些上万 十几万的 也不会这样看不起顾客吧？你们要说都说，别人一个不管。为啥只说我，我做的不对也行。我明明拿着裤子让我在外面试？ 明明三件 还在一件一件的数？ 眼瞎？自己不想干，或者有气，别在这撒气，给这个品牌带来污点。真是气人。当时生气也只是大声叫了几句，也没骂她。也是不能显的咱自己也没素质。让人以为我们只会拿服务员出气。但是请你们服务员也提升自身素质好么。要这你全管。请不要拿自己的眼光，看不上的人去管一下，别人不管。没有这么欺负人的。;产品3(很好);环境3(很好);服务0(很差)
15-03-10;minozjessica;买衣服的店。。。好贵啊。。。不过衣服挺舒服的~;产品3(很好);环境3(很好);服务3(很好)
15-02-24;企鹅lyn;去前门无意间看到sopa店铺，衣服都是韩版，店铺人不多，挺好的。买了条仔裤。;产品4(非常好);环境4(非常好);服务4(非常好)
14-12-03;夏氏情歌;打分给男装。快时尚里的business casual男装这家做得最好。其他的有he by mango, ur，zara还不错,不过这家价格可爱.从衣服到鞋包，领带，袖扣一应俱全，男友衣柜里已有n件了，质量不错。提点意见啊～请来个spao for lady的系列谢谢！青春系列可以有，但是也要满足下轻熟女的需要啊。女装可以跟上男装的段位吗？;产品4(非常好);环境4(非常好);服务3(很好)
14-11-09;Galaxy_L茜;必须赞，而且北京就这一家，特地为了SPAO去了前门;产品4(非常好);环境4(非常好);服务4(非常好)
14-10-06;dpuser_83149112248;衣服特别适合。特别符合我们年轻人。而且是super junior代言的。还有他们的海报。赞！！！;产品4(非常好);环境4(非常好);服务4(非常好)
14-10-06;火药牌西瓜;衣服很漂亮，部分很便宜，经常去逛，可是最近发现态度越来越不好，出门得时候门口机器响了，什么都没说上来就检查，发现是误会后还一句抱歉都没有，有点失望;产品4(非常好);环境2(好);服务0(很差)
14-09-22;灬阴天灬;东西很便宜啊，而且都很好看，适合年轻人。本人买了一双鞋，全皮的才99元！一个背包才59元！老婆的T恤才58。真的是即经济又好看，质量也不错，推荐！;产品4(非常好);环境4(非常好);服务4(非常好)
14-09-11  更新于09-19 22:15;懒么咪;特意中午抽空去逛了这家店，能挑出来的比较少，质量都很不错，跟优衣库感觉差不多，随便逛逛可以，没赶上特价比较遗憾;产品2(好);环境3(很好);服务2(好)
14-09-06  更新于09-06 18:44;Little_bunny633;最近他家换季打折超级便宜！！！折扣力度比优衣库什么的大多了，而且质量还不错！我这一去买了好多！;产品3(很好);环境3(很好);服务3(很好)
14-08-31;莹莹徐;在这里买过一些东西 衣服颜色很艳丽 有时候还会有打折 很实惠;产品3(很好);环境2(好);服务2(好)
14-07-23;咿小陌;超级爱来逛，就是因为老来这家店，才老往前门跑，觉得他家的衣服性价比真的还挺高的，所以时不时就过来看看，遇到打折啥的就更实惠了，因为老上他家，自己五颜六色的衣服全都有了，特别喜欢，特别开心，就是裤子的码感觉偏小点，鞋啊书包啊啥的性价比也挺高的，反正很对我的胃口。;产品2(好);环境4(非常好);服务4(非常好)
14-06-07;淡蓝小瓜;SPAO 衣服色彩丰富，，，特价的时候价格超级合适啊！！！而且好看！！！好喜欢！！！买了买了，，，，;;;
14-05-31;静兒;价格合适，部分商品很便宜，试衣间宽敞，衣服号偏小，下回继续光顾！;产品4(非常好);环境4(非常好);服务4(非常好)
14-05-18;liuxiao_128;营业员的态度都很好～店铺一进去很七彩～遇到打折的时候价格非常合适。现在帆布鞋一律79～果断入手了.;产品3(很好);环境3(很好);服务3(很好)
14-05-04;金夏梨;挺喜欢它家衣服，自主购物，女装衣服款式多是休闲类的，颜色亮丽，设计时尚，经常有特价产品~男装也挺好看的，相比同价位的优衣库要时尚的多。;产品4(非常好);环境4(非常好);服务4(非常好)
14-05-02;M呜吼吼M;都是基本款 也不贵 尤其双肩包很值 店里摆设有点紧 颜色鲜艳来看看壁纸明星也好;产品2(好);环境2(好);服务2(好)
14-04-30;吃了个肚歪;刚开业的时候羽绒服特价，队伍排的人山人海免费给商家造势做宣传。上官网查了一下品牌，基本款多超级便宜，奈不住好奇也进店踅摸败点什么。时间有限只转了一层女装，有配饰，特价商品一大批，很多人围观，凭良心说东西质量比较一般。最后败了一条裤子和POLO衫，裤子属于打折商品因此只换不退，回家被说一点看不出新，不过话说回来SPAO打折的商品看着都像尾货，勉强凑合穿穿还能行。;产品2(好);环境3(很好);服务2(好)
14-04-04;tatauu;这个5分是冲男装打的。好多基本款都不错。印象就是，价格和优衣库差不错，款式比优衣库好。价格和HM差不多，质量比hm好。所以，总体而言男装还不错。楼下女装，实在是青春无敌啊。要么学生穿吧，上班的人实在不适合，穿上显幼稚。其实咋一看女装和国内的美特斯邦威，佐丹奴啊啥的走的是一样一样的路线。;产品4(非常好);环境4(非常好);服务3(很好)
14-04-03;sevendr;东西性价比 很一般 被炒得那么热 多亏那些脑残粉吧  但是东西分类还算干净;产品1(一般);环境1(一般);服务1(一般)
14-03-27;琳琳khuntoria;觉得衣服挺适合自己的，而且还是偶像代言的，冲着宋茜欧尼也要多支持。赞一个;产品4(非常好);环境4(非常好);服务4(非常好)
14-03-25;sky貘;估计来这里的人们是有八九又是为了韩国的代言明星们吧。那天见到这个店刚开业，和同学去里面转了转，感觉还是可以的，衣服比较有点韩式风格，都是毛衣衬衣的搭配，但是风衣什么的比较偏宽松一些，目测不会很修身。据我同学的亲身体验，价格有些小贵，而且，听说某人是在和一帮中学生抢Spao，额，我还能说啥。目前没有入手的打算，毕竟本人的身材略微有些汉子。运动服倒是蛮好看的。;产品2(好);环境2(好);服务2(好)
14-03-24;huiyuansu;原来前门还有一家SPAO是去年新开的男装不错，有的衣服399，包是99真的很便宜，颜色也很亮，帆布鞋129一双，颜色有亮的也有带拉链装饰的复古范儿。还有袖扣、领带啥商务一些的，有西服有风衣有搭配的商务包和鞋子。总之二楼男装既有学生装也有适合上班后30岁前小青年穿的，很齐全很赞，虽然质量参差不齐比Mind Bridge和I‘m David 差好些，但是性价比比较高。一楼就只是学生女装范儿了，搞得满郁闷。。。;产品2(好);环境3(很好);服务2(好)
14-03-05;The_next_me_小可;为了代言人去的……女装真是丑的没话说，逛了很久，买了件男装，也不错！很久没穿运动服，都是为了偶吧才卖的啊！;产品3(很好);环境3(很好);服务3(很好)
14-02-16;马靠谱不是马生事;价格相对比较便宜 款式也很招人喜欢 店还很大 就是北京只有这一家 不太方便 总之还是很喜欢的 买了不少(^_^);产品4(非常好);环境4(非常好);服务3(很好)
14-01-14;maggie598;虽然我对着几位都不认识，不过这个店貌似是挺in的，好多年轻人来买东西。不过就是男装普遍偏小，我老公192，不是袖子短，就是衣裳短。;产品4(非常好);环境4(非常好);服务4(非常好)
13-12-27;考拉妹_5213;就在前面步行街上非常好找，店里面逛的人多买的人少，衣服风格感觉有点像森马，店里的东西陈列什么的感觉有点类似ZARA和HM，偶像牌打的很厉害，到处都是大幅海报，真正看衣服的性价比一般般;产品3(很好);环境4(非常好);服务4(非常好)
13-12-15;FANG房XD;12月14日正式营业 早早同小伙伴去了 可惜没有男士画册可以拿了 店面比上海那家小很多 同上次来北京还在装修时候的样子很不一样了 一楼外面窗户里的海报没有崔始源单人的了 二楼的图也换成商务型的了 排了半天队伍才进去了 我买了顶帽子 小伙伴买了帽子和书包 送了张小海报 看别人都是大包小包的买- - 排队结账的时候 一楼居然停电了！=口= 店里二楼有两张崔始源单人的大海报 还算给力 有机会我再去上海的SPAO看看吧_(:з」∠)_;效果2(好);环境2(好);服务2(好)
13-12-14;晟奭;12月14日正式在北京前门开店！韩国服饰～有的还挂着思密达的价签儿～不过不知道是不是新店的缘故，衣服鞋帽还是相当便宜的～第一天就被一抢而空！明星效应在这里得到了很好的效果～总体来说是家相当给力的店！;效果4(非常好);环境4(非常好);服务4(非常好)
