time;user;text;score1;score2;score3
02-23;萱Mum_3027;谢馥春的产品真的很不错呢，护肤和小彩妆都有，我用过他家的鸭蛋粉  美肤霜 还有眼影眉粉之类的，效果棒棒滴，不仅天然有效，而且价位也适中，不比一些大牌子差，赞！支持国货！;效果4(非常好);环境4(非常好);服务4(非常好)
01-08;啦啦啦_3912;谢馥春是我用过最久的国货品牌，我是敏感肌肤，他们家的产品我用着都不过敏，主打的鸭蛋粉很好用，服帖不掉粉，听说还有护肤作用，晚上也可以用，这次还买了护肤的六件套，还有那个DIY的霜说是根据不同皮肤调制的，用过美白的，这次试试长效保湿的里边还加了冻干粉，还买了两个香包味儿很正，手霜什么的也都不错，还会再来的，价位亲民;效果4(非常好);环境4(非常好);服务4(非常好)
01-06;dpuser_6032385200;别人给推荐的。今天试了一下感觉跟好。就买了一个套装。一个鸭蛋粉。听服务员说鸭蛋粉是无铅得粉。粉很细。用的很舒服。服务员也很热情。回去让我的同事也用用国货。以后支持国货！！！;效果3(很好);环境4(非常好);服务4(非常好)
01-02;一只猫的旅行7028;香味非常好！定妆效果一般，就是非常香！与香水不同，它的味道很自然，让人忘不了！;效果3(很好);环境4(非常好);服务4(非常好)
15-11-30;ongbaobao;在几年前无意中进到谢馥春的专卖店后就喜欢上了她的产品，店面古香古色的别有一种韵味，特别喜欢她家的鸭蛋粉，共有四种味道，本人超喜欢桂花和栀子花两种味道，最便宜的25元的鸭蛋粉用来放在衣柜里和车里做熏香特好，香气还比较持久，香包放在身上可以做香水使用，还有很多的护肤产品也都挺不错的。现在国外的很多品牌化妆品充斥市场，动辄几百乃至上千元，其实未必都适合我们的皮肤，国货中也不伐很多好用的化妆品，而且既经济又实惠;效果3(很好);环境4(非常好);服务3(很好)
15-08-15;血拼一族888;服务热情 介绍产品认真 就是没有折扣 希望能多搞活动;效果4(非常好);环境4(非常好);服务4(非常好)
15-06-29;我就是看看而已啦;买了鸭蛋粉 是慕名去买的 很香（是高级货那种香）很细很白不太适合肤色不白的姑娘店员态度还可以ps胭脂看着艳 上脸还是蛮自然的 但是我不喜欢胭脂就没买;效果3(很好);环境3(很好);服务3(很好)
15-06-26;小海豚1212;电力的东西都很古典，复古情怀，超喜欢。买了玫瑰香囊和眼影。;效果4(非常好);环境4(非常好);服务4(非常好)
15-03-25;K瓜瓜2012;～～～爱点评，更爱生活～～～～～～爱点评，更爱生活～～～～～～爱点评，更爱生活～～～这是国货啊。现在正是国货盛行值钱的时代。一直挺想在猫旗舰店买的。害怕快递给弄碎了。终于来前门有实体店棒棒的。北京店铺不少的。每家环境都很相似。位置：前门大栅栏路牌下面，走进去左侧几步就是这家店。服务：一进店就很热情推荐问这问那。经典就是散粉吧。鸭蛋粉。包装什么的都好好看啊。非常宫廷feel。国货就是延续经典吧，这样才值钱。其实喜欢国货，是挺喜欢历史的感觉。虽然没觉得产品有什么太好太明显效果啊。价格：比那些进口各种化妆品大牌子便宜许多。但也不算低廉。还好了。很可以接受的。贴段喜欢的历史：谢馥春是既有深厚历史积淀，又充满现代朝气的天然化妆品企业。其历史朔源于清朝道光10年（公元1830年）创立的谢馥春香粉铺。乃中国第一家化妆品企业。传统产品鸭蛋粉、冰麝油及香件（誉称东方固体香水），通称谢馥春“三绝”，1915年与“茅台酒”同获巴拿马国际博览会大奖，成为当时化妆品著名品牌和中国化妆品第一品牌。 扬州出美人，美容为根本，源自谢馥春。谢馥春基于东方人生理特征，讲求天人合一（天然美妆造就天生丽质），比之西方化学合成品，既亲和安全，更符合回归天性和功效性的诉学。当今产品技术路线，一是对传统经典工艺进行挖掘创新生产经典特色产品；二是与权威科研机构合作开发现代生物化妆品，从根本上和生命科学意义上解决肌肤美容问题，抛弃了遮掩式的西方化学美，达到“清水出芙蓉，天然去雕饰”功效。东方化、功效化、天然化、人性化是谢馥春品牌永恒的内涵，打造东方化妆品的本土领军企业是谢馥春公司的不懈追求。;效果3(很好);环境3(很好);服务3(很好)
14-10-31;bennymami;你要买东西就是服务好，要不买就等于没有服务，就在大栅栏里，价格不贵，东西也不错，就是真心觉得，如果服务好点的话，买的人应该挺多的，因为价格不贵;效果4(非常好);环境4(非常好);服务1(一般)
14-08-10;小芝麻丸儿;很久之前就听说过的老字号国货护肤品，想不到在前面有实体店，进去逛逛感觉还不错，他们家主打胭脂水粉，礼盒装买来送人很体面。;效果3(很好);环境3(很好);服务4(非常好)
14-06-09;王小熊读博就要好好学习;鸭蛋粉味道很好闻，摸上去很细腻。还给朋友带了一个玫瑰香包，做的很精细。;效果4(非常好);环境3(很好);服务4(非常好)
14-04-25  更新于04-25 23:26;殷血丹霞;很古老的国货品牌了。我现在一直用她家的桂花油和马油洗发水，两样配合使用头发比以前掉的少多了。而且桂花油是瓷瓶装，很古典的感觉。;效果3(很好);环境2(好);服务1(一般)
