ID;weibo_poiid;;dianping_id;;classification;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count
37;B209475DDB6DAAFE489E;B209475CDA6AA7F5479C;14703864;;2;Soloist coffee;Soloist Coffee Co.;北京市 39# Yangmeizhu xiejie-Beijing;煤市街杨梅竹斜街39号;咖啡厅;前门;;39.89598;116.392761;39.89457858;116.3865206;;;141;486
38;B2094654D36EABF9489B;;2997307;;1;云南商店;;东城区前门大栅栏西口;;;;;39.89577;116.39445;39.89436794;116.3882089;;;7;32
39;B2094654D168A3F54498;;5171450;;3;青云阁;青云阁酒店;大栅栏西街33号;大栅栏西街33号;三星级/舒适型;前门;;39.89528;116.39343;39.89387834;116.3871894;;;18;43
40;B2094654D36EABF9489A;;3193375;;4;前门客栈;;东城区煤市街33号;;;;;39.89606;116.39435;39.89465796;116.3881089;;;46;81
41;B2094757D66AA6FD4298;;4178762;;4;365in;365in;东城区大栅栏西街路北侧;大栅栏西街路北侧;酒吧;前门;;39.89559;116.39388;39.89418816;116.3876392;;;12;6
42;B2094757D16EA1FE4699;;;;0;王记锅贴;;东城区鲜鱼口;;;;;39.896137;116.39331;39.89473535;116.3870693;;;3;
43;B2094654D36EABFB489F;;;;1;老浒记;;北京市崇文区天王星后方;;;;;39.89442;116.38495;39.89302316;116.3787148;;;125;
44;B2094654D36EABFB499E;;44848665;;4;天平商务楼;;东城区王府井东大街8号;;;;;39.89403;116.38597;39.89263245;116.379734;;;104;1
45;B2094757D16DA6FB4893;;;;1;中国书店（来薰阁书店);;西城区琉璃厂东街115号;;;;;39.89513;116.38508;39.89373303;116.3788446;;;40;
46;B2094654D36EABF4439B;;2001760;;2;高丽高烤肉城 南新华街店;;西城区南新华街小沙土园夹道7号;;;;;39.8935;116.38507;39.89210311;116.3788348;;;14;583
47;B209475CD06AA1FB439F;;512641;;1;老浒记民俗酒楼 琉璃厂店;;琉璃厂南新华街58号(近师大一附中);;;;;39.89426114;116.3851065;39.89286419;116.3788712;;;21;976
48;B2094654D36EABFB469F;;4201901;;1;锦昌(琉璃厂东街);;琉璃厂东街118;;;;;39.89518;116.3856;39.89378266;116.3793642;;;4;1
49;B2094654D36EABFB489D;;;;4;北京银行琉璃厂支行;;南新华街58-3;;;;;39.89429;116.38498;39.89289314;116.3787448;;;7;
50;B2094654D36EABFB489C;;;;4;宣武人才服务中心人才开发培训部;;南新华街58-3号3层;;;;;39.8943;116.38499;39.89290314;116.3787548;;;3;
51;B2094654D36EAAFE4493;;4275899;;1;戴月轩;;东城区琉璃厂东街73号;;;;;39.89531;116.3865;39.89391203;116.3802635;;;6;14
