poiid;title;address;lat;lon;lat_wgs;lng_wgs;count
B2094654D169A1FE489C;全聚德(和平门店);西城区前门西大街14号楼(和平门地铁站C口);39.899290000000001;116.385060000000000;39.897892856900000;116.378824111000000;4852
B2094654D36EAAFC4393;中联鑫华酒店;北京市西城区前门西大街甲10号(全聚德烤鸭店(和平门店)的东侧);39.899659999999997;116.385810000000010;39.898262305999999;116.379573452000000;37
B2094654D06EA4F4499E;北京市和平门百货商场;前门西大街甲10号;39.899679999999996;116.385810000000010;39.898282305099997;116.379573449000010;0
B2094753DA65A0F94392;佛罗伦萨小镇;北京市 天津市武清区;39.900221999999999;116.385658000000010;39.898824387300003;116.379421502000000;68
B2094757D16FA7FE409D;厂甸庙会;西城区虎坊桥至和平门;39.899340000000002;116.384640000000000;39.897943163199997;116.378404460000000;33
B2094757D66EA3F4489D;莲花会馆;北京西三环中路莲花池公园北侧;39.899718000000000;116.384642000000000;39.898321144699999;116.378406410000000;0
B2094750D26FA3FC459F;全聚德烤鸭和平门店;;39.899120000000003;116.384910000000000;39.897722973999997;116.378674258999990;15
B2094654D16BA5FF419F;华夏银行和平门支行;东城区前门西大街14号;39.899259999999998;116.384649999999990;39.897863159400003;116.378414461000010;7
B2094757D16EA7FC419F;老上海城隍庙小吃(和平门店);西城区前门西大街75号;39.900129999999997;116.386850000000000;39.898731580300002;116.380612588000010;34
B2094654D66DA2F44092;北京供电局;;39.900370000000002;116.389880000000010;39.898969760000000;116.383640521000000;22
B2094757D56FA0FB439E;首都旅行社;中国北京市宣武区;39.899867620000002;116.391256510000010;39.898466702199997;116.385016324000010;0
B2094654D36EAAFC4998;老舍茶馆 前门店;西城区前门西大街正阳市场3号楼(近国家供电局);39.899740000000001;116.393360000000000;39.898338167699997;116.387118839000000;2602
B2094654D66DA5F9449F;前门西;;39.900280000000002;116.393700000000000;39.898878011900003;116.387458632000000;146
B2094654D36EAAFC479E;泰丰楼;西城区前门西大街2号;39.900039999999997;116.391570000000000;39.898638925800000;116.385329630000000;54
B2094751D268A5F5429C;必胜客(庄胜崇光店);西城区宣武门外大街8号庄胜崇光百货新馆B1楼(近宣武门地铁站);39.899569999999997;116.393378000000000;39.898168168300003;116.387136854000000;37
B2094654D36EAAFC499B;顺潮龙大酒楼;西城区前门西大街正阳市场3号楼;39.899700000000003;116.393109999999990;39.898298269300000;116.386868949999990;4
B2094654D164ABFB429B;正阳商城;北京市宣武区前门西河沿13号;39.899740000000001;116.393350000000000;39.898338171600003;116.387108844000000;3
B2094654D36EAAFC4793;国美电器商城前门西大街店;西城区前门路口西;39.899760000000001;116.392150000000000;39.898358673899999;116.385909379000000;6
B2094654D36EAAFC4893;中国雷锋资料馆办事处;;39.899709999999999;116.393050000000000;39.898308293200003;116.386808974999990;0
B2094654D36EAAFC499A;中国元帅将军纪念馆办事处;;39.899709999999999;116.393050000000000;39.898308293200003;116.386808974999990;0
B2094654D66CA5F84493;飞利浦国美北京前门店;前门路口向西300米路南;39.899780000000000;116.392230000000000;39.898378637599997;116.385989338000000;0
B2094654D168A5F4409C;前门五环商城商场;宣武区前门西大街2号;39.899670000000000;116.394620000000000;39.898267707400002;116.388378366000000;0
B2094757D56FA7FB4299;北京市彦民国都旅行社(前门门市部);前门西;39.899720320000000;116.393005640000000;39.898318630799999;116.386764633000000;0
B2094757D16BA1FF469E;旅游集散中心;东城区前门大街(天安门广场西南);39.899549999999998;116.392940000000000;39.898148345400003;116.386699042999990;0
B2094654D36EAAFD489C;北京银行前门支行;东城区前门西大街正阳市场1号楼(近大栅栏);39.899619999999999;116.394890000000000;39.898217619000000;116.388648278999990;0
B2094654D36EAAFD4899;扎西德勒藏文化前门旗舰总店;东城区大栅栏西街56号(前门大街西侧);39.899690000000000;116.394270000000010;39.898287828599997;116.388028489000010;3
B2094757D669A4FD4193;孙记河间驴肉馆;西城区香炉营头条(近和平门全聚德烤鸭);39.898513000000001;116.384429000000000;39.897116358100000;116.378193745999990;0
B2094654D36EAAFD4099;正乙祠戏楼;东城区前门西河沿220号(近琉璃厂路);39.898809999999997;116.386030000000010;39.897412191800001;116.379793385000000;1103
B2094654D36EAAFE489E;北京师大附中;北京市西城区南新华街18号;39.897939999999998;116.384860000000000;39.896543063999999;116.378624450999990;365
B2094654D36EAAFD409B;全聚德展览馆;前门西河沿街217号;39.898949999999999;116.385150000000000;39.897552806999997;116.378914080000000;75
B2094654D36EAAFC4993;孙记串吧;西城区和平门南新华街瑞驰酒店南(近前门西河沿街);39.899348000000003;116.384472000000000;39.897951288199998;116.378236603000000;6
B2094757D065A3FC4092;中国全聚德(集团)股份有限公司;北京市西城区前门西河沿街217号;39.898953585000001;116.385152530000000;39.897556389999998;116.378916606999990;7
B2094752D664A3FE4599;和平自酿酒馆;西城区西河沿街200号;39.899127999999997;116.386155000000000;39.897730091600003;116.379918247000010;58
B2094654D16EA3F9439E;北京市宣武区少年美术馆(和平门邮电局东);;39.899189999999997;116.386370000000000;39.897791942600001;116.380133072000010;6
B2094654D36EAAFE4898;北京师范大学附属中学(南门);南新华街18;39.897390000000001;116.384829999999990;39.895993111000003;116.378594546000000;23
B2094757D16DA7FC4398;觉品一号;北京市宣武区和平门南新华街甲一号;39.897429299999999;116.384509810000000;39.896032646700000;116.378274625000000;0
B209475DD46AA4F84393;国家大剧院;北京市 北京市 西城区;39.899227000000003;116.387382000000000;39.897828276900000;116.381144312000000;0
B2094654D66DA0F44999;果子巷;宣武区果子巷;39.895443999999998;116.385121000000000;39.894046987400003;116.378885550000010;43
